2Theta,Count
41.3131220812,6475.56511464
41.463511155,6413.06207344
41.6094100026,6421.49255561
41.7668024892,6452.12635474
41.9100038499,6474.84417415
42.0668802956,6549.44446513
42.1964065715,6637.69139009
42.3364748266,6612.84150311
42.4651410342,6831.40511646
42.5915710644,6846.51353941
42.7128406853,6890.87613683
42.8284338558,7069.97962344
42.9557239542,7503.619159
43.0511915281,7891.92525015
43.1337580785,7966.87872505
43.2176147312,8887.49919527
43.2826358896,9560.9988436
43.3454782085,10220.240054
43.3911846917,10767.9282696
43.413890493,11097.1349192
43.4500133588,12584.2942708
43.4861362246,13942.3207541
43.5021334937,14928.4022683
43.5090140396,15560.2253974
43.5337102846,17542.5787279
43.5577921951,19430.796399
43.5655328092,20406.9157969
43.5706932186,21260.7317752
43.5899014091,23169.4319331
43.6138604527,25948.5706243
43.6474031138,28712.3328511
43.6654645467,30144.0913816
43.6809457749,31629.4651922
43.6938467984,32786.5686584
43.718241461,36500.4089898
43.7348284912,38775.6607527
43.7520298559,40999.2273669
43.7726714935,43246.7328194
43.793313131,45485.397637
43.8036339498,46621.8649842
43.8087943592,46769.9201711
43.8187465774,48436.5382954
43.8264871915,50311.0251243
43.8445486244,51997.8707361
43.8755110807,52959.2115946
43.894979898,51452.4702687
43.9145157336,49863.810836
43.9325771665,48435.0776691
43.9506385994,46968.1013066
43.971280237,45616.3757224
43.9919218745,44192.1370661
44.0125635121,42871.2047043
44.028413341,40025.2527617
44.0438945692,39950.90019
44.0516351833,40123.8131475
44.0516351833,41017.8099276
44.0516351833,41916.2766916
44.0527409853,42978.8662331
44.0527409853,44023.3524711
44.0527409853,45125.9484999
44.0527409853,46103.3849795
44.057532794,45689.6377337
44.0626932034,45168.1886653
44.0678536128,44633.3296452
44.0755942269,41301.7752246
44.0859150457,37879.6536571
44.0962358645,34828.2427543
44.1065566833,31776.8318515
44.1194577068,28587.5315722
44.1271983209,26567.1724291
44.1452597538,23591.5268337
44.1650413231,20687.0199999
44.1903519026,19491.0645222
44.2135737448,18345.9760538
44.2412187952,17207.031514
44.2659150402,16077.4246242
44.3079355167,15361.2643535
44.3537341501,15106.9106194
44.3950174253,14861.4539315
44.4370379018,14754.5567235
44.4809013817,13589.7978734
44.5067034286,13475.6115521
44.5333655439,13355.8707598
44.5626078638,14517.9472109
44.5935703202,15668.1697224
44.6201095685,16753.9895153
44.6470174175,17781.2773086
44.6540208303,18399.762606
44.6546658814,18588.9980561
44.6555259497,18141.5111767
44.6676897718,19809.2855579
44.6805907953,21344.1026637
44.6986522282,22832.7789892
44.7141334564,24382.520568
