2Theta,Count
41.1692966674,807.997936413
41.3627104798,820.138444841
41.5562480811,831.958038587
41.7301191843,834.406326229
41.8960062785,839.005124484
42.0694463227,844.030379542
42.2368346304,853.747616332
42.4023928864,863.455709446
42.5648435077,879.927895224
42.7216170756,910.364922431
42.8884861278,954.948090017
43.0246889305,986.970489415
43.1672026924,1054.44352884
43.2891143242,1145.22453799
43.3997493123,1226.88265436
43.4850406729,1290.82429061
43.5744299801,1435.70698939
43.6490508834,1604.14638439
43.7185350252,1762.40898933
43.7748187568,2008.95925559
43.8181039628,2214.79688605
43.8409323199,2377.57019403
43.8682558115,2543.71820201
43.8803947251,2612.13173384
43.8973401442,2802.25005089
43.9173739083,2971.33317892
43.9414208652,3085.65039529
43.9609711688,3303.17874407
43.9748795812,3469.77637183
43.987301969,3640.17067568
43.9946153911,3684.15099857
44.0089023091,3961.99496487
44.023165077,4237.48428268
44.037279298,4498.49029084
44.0587023845,4803.0323486
44.0691052147,4925.20386127
44.0796151262,5057.81579655
44.1016399435,5470.58796951
44.1129654952,5682.7248258
44.124165739,5882.6441663
44.1481184168,6338.2387561
44.169078092,6776.01910613
44.184927637,6983.19308789
44.2007855358,7191.18157071
44.2166631801,7401.09523784
44.2319666866,7599.63569071
44.2548580556,8079.19617252
44.2762732135,8561.3860818
44.2906514671,8798.5739021
44.3075607874,9034.73394484
44.3338754368,9370.15117441
44.3487686496,9356.6392773
44.369767512,9218.37249474
44.3902043877,9292.94333557
44.4113077492,9343.28610781
44.4347015865,9393.92415091
44.4586285517,9451.93694857
44.475049674,9236.92663671
44.4928627096,9011.0678413
44.5084631577,8747.90266488
44.5234184856,8496.18029796
44.5290596173,8154.08621024
44.5331965992,7888.36361444
44.5358339878,8145.50900153
44.5372082732,8190.29138582
44.5379282238,8260.4865675
44.5376244472,8007.84223854
44.5396384861,7758.15882027
44.5416388551,7507.14258208
44.5459986571,7263.14495074
44.5507521536,7057.53253267
44.5553844433,6840.10244477
44.5622558703,6617.96214855
44.5693323466,6415.8141509
44.5748777888,5841.36421501
44.5849776018,5264.9132266
44.5952072794,4701.1240273
44.604221091,4464.84011963
44.6133097836,4235.85710323
44.6211335504,4010.98730901
44.6303115533,3790.71204932
44.6374053449,3590.25229023
44.6469032246,3401.16501633
44.6532370972,3222.19578208
44.661210474,3033.15354307
44.6716479347,2846.46498046
44.6813513193,2677.41443248
44.6910433123,2507.25320123
44.7045925088,2341.45913857
44.7128692065,2256.33272863
44.7315947566,2114.66497373
44.7485211897,1980.78332815
44.7768544347,1843.9353039
44.8109051354,1706.97393301
44.8618901821,1574.48347386
44.9377226984,1459.6081439
45.036402178,1356.91906354
45.1452012921,1259.57946661
45.2793072767,1176.37254516
45.4364473765,1108.73075782
45.6061588664,973.24808796
45.7865244605,921.245404346
45.9873776103,878.129933484
46.2031440656,849.529585957
46.4358708576,839.520010825
46.6578479429,828.478172667
46.8763301611,831.501053779
47.0867543248,829.45500435
47.3086547894,831.217744112
47.5328320598,831.94293484
47.7561428796,833.151531808
47.9715475369,826.046166367
48.1941459283,821.514730577
48.4096025314,819.474080777
48.621700884,814.405620399
48.8290860339,802.803577723
49.0589101456,806.668082308
49.2705438719,811.041326425
49.4868731818,811.25132286
49.6892638102,822.457392717
49.8853900946,838.866797993
50.0627765442,865.452633134
50.2492328088,924.067090753
50.405964329,965.272869914
50.556737929,1046.33743715
50.6850413246,1111.06163235
50.8004339101,1210.53328547
50.8957430642,1359.1053404
50.9853822783,1475.2525071
51.0492899349,1588.96147589
51.0996148712,1684.65097994
51.1384468892,1828.01296212
51.1754603341,2027.71045889
51.2017444539,2192.88147571
51.2308659993,2355.91884152
51.250830958,2462.53691548
51.2870344476,2678.84639313
51.3168075938,2849.65831389
51.3355437218,2955.94367109
51.3633694574,3066.98161888
51.3958507721,3260.2283541
51.436696576,3451.25038128
51.4700055301,3576.50788466
51.5056606422,3618.27923513
51.540418307,3661.75992143
51.5752037674,3707.95067487
51.6123586853,3762.13743641
51.637298138,3708.58600196
51.6613734981,3658.40294028
51.6878154082,3607.96717985
51.7093713969,3553.75702751
51.7326148647,3441.0499791
51.754085796,3304.20468884
51.7739089995,3166.01030493
